,order,huc2,Q_decile,mu,sigma,mean,median
105,1.0,10,5,4.416956505567407,1.0966278828406006,159.25186289052385,71.36576387062847
106,1.0,10,6,4.5039355859889545,1.126183344895553,173.6837797912996,76.5
107,1.0,10,7,4.499410330174193,1.0716771654306312,167.56440204172108,76.5
108,1.0,10,8,4.628333124974676,1.0673515652881949,188.01719059430974,82.6875
109,1.0,10,9,4.662940982299772,1.09170130267866,196.78098641187407,84.375
110,2.0,10,0,4.340133753534519,0.8745238977833705,109.67853745579804,77.21052631578947
111,2.0,10,1,4.370574447128787,0.9430264225692334,118.58802874726743,87.92307692307693
112,2.0,10,2,4.358033382794333,1.0114439808966385,127.3887267195248,72.0
113,2.0,10,3,4.37815904555564,0.9961084322474132,129.26358201785555,73.11301299236956
114,2.0,10,4,4.427679859804871,0.9990786712286082,137.38375102285457,75.4074554294976
115,2.0,10,5,4.383845920333661,1.0132817614728256,134.01058749410035,75.27251284999326
116,2.0,10,6,4.479627517005033,0.972636289468323,142.78098223333058,82.25781739823046
117,2.0,10,7,4.455319863736519,0.9687277798015751,137.5026603490633,88.5998672859987
118,2.0,10,8,4.503717709003622,1.072095505785297,153.6979075042364,104.509531803339
119,2.0,10,9,4.534052744888557,0.9739207377536016,149.90130400282249,104.4
120,3.0,10,0,4.372121544472871,0.7425253875249658,105.52758541212388,72.6028202115159
121,3.0,10,1,4.378252500561084,0.7465373141238064,104.61013626890274,75.4074554294976
122,3.0,10,2,4.3900742741557846,0.7718294800622347,108.97866340099536,75.40745542949759
123,3.0,10,3,4.333744570759056,0.7365994522445264,101.03414287122835,72.85714285714286
124,3.0,10,4,4.3974281851284385,0.8168349731500187,113.95621705008868,75.375
125,3.0,10,5,4.4111481834443325,0.8261736624129631,118.15232688652198,75.89692348146204
126,3.0,10,6,4.427822348684215,0.7871479748128763,114.51845624718462,81.0
127,3.0,10,7,4.395699335547915,0.7831584804573843,110.4089576560194,80.0
128,3.0,10,8,4.4598304240529325,0.8336329407596504,121.84419407266934,85.0420668199649
129,3.0,10,9,4.515136869735129,0.8190676779816961,126.72188937470114,90.0
130,4.0,10,0,4.52040301532742,0.9502520368180482,154.54556686264783,96.89183808891843
131,4.0,10,1,4.646113596609338,0.9805418777672521,179.295615522871,118.125
132,4.0,10,2,4.523035351894558,1.0493675756292913,174.61075207626502,92.1977186311787
133,4.0,10,3,4.50718524642325,0.9636266069922337,151.21486357928646,88.84410646387833
134,4.0,10,4,4.426408624887489,1.1076782164706,173.75849609660258,73.37226277372267
135,4.0,10,5,4.339487687700311,1.0863006043679846,158.66860524237111,70.15328467153287
136,4.0,10,6,4.292650538129439,1.054944857877152,142.3043167830744,67.5
137,4.0,10,7,4.239714157302761,1.060920519023478,129.83900511429997,64.16666666666667
138,4.0,10,8,4.415727648605342,1.114989623013479,175.95132686958982,73.01924353019247
139,4.0,10,9,4.49117790561076,1.1035390962825806,174.41928757811033,82.6875
140,5.0,10,0,3.939464597134844,1.0323481436546251,85.24074930422651,47.12965964343599
141,5.0,10,1,3.9771015594845354,1.0185359085236814,87.58172401517982,48.81566820276498
142,5.0,10,2,3.8525808021286743,0.9791214238069746,76.5916632436717,40.5
143,5.0,10,3,3.7609355195346326,0.953008511278674,69.94636089087133,37.8
144,5.0,10,4,3.748389238500471,0.9310435740453149,67.07885914061137,38.22053231939164
145,5.0,10,5,3.8319073175496,0.9486342913812913,72.51798386644853,41.57414448669201
146,5.0,10,6,3.8249859976600424,0.9585985327605475,72.86863508541063,40.5
147,5.0,10,7,3.8136180059190194,0.9327089598546755,70.06353524684789,40.5
148,5.0,10,8,3.9100269789939213,0.9402723574201712,77.83781688303493,43.2
149,5.0,10,9,3.972379834969564,0.8920566543068409,79.44443549526213,50.400000000000006
150,6.0,10,0,3.824150948680044,0.8921403382394429,70.69799872911133,43.07142857142857
151,6.0,10,1,3.805195697523093,0.8728646615826369,67.90883195123564,42.3
152,6.0,10,2,3.725098370967503,0.8436813643085058,61.05225733615695,40.5
153,6.0,10,3,3.7221892677669235,0.8030951131825742,57.97634054420825,40.5
154,6.0,10,4,3.769450164822085,0.7984404358919746,61.229594554045946,43.066942869603146
155,6.0,10,5,3.7618753730301453,0.8032253138732914,60.86446974955726,43.07142857142857
156,6.0,10,6,3.830241717921975,0.8275960278328542,67.08346383959233,46.06428138265615
157,6.0,10,7,3.8716344997219503,0.8615334137241836,71.1029697718209,50.25
158,6.0,10,8,3.910299540077011,0.8596676279095087,74.9699604287301,50.400000000000006
159,6.0,10,9,4.010873767287735,0.8935133446079561,83.69232191237292,56.25
160,7.0,10,0,4.1105349890932885,0.7966002310383109,84.47267452934058,56.735235567352376
161,7.0,10,1,4.179696860570038,0.8469077757964122,93.82812957841952,58.7810794420861
162,7.0,10,2,4.160854149891516,0.8721074827526517,94.39740227397277,58.75016907885841
163,7.0,10,3,4.228143307589386,0.8501997882369213,100.4247509099954,62.8125
164,7.0,10,4,4.2736811783623185,0.8562128916202817,103.76338844760657,66.38151080714393
165,7.0,10,5,4.288933283968528,0.8749468843244498,107.13043543023137,67.5
166,7.0,10,6,4.404108251241503,0.8896598047604571,119.58036984968433,74.76923076923077
167,7.0,10,7,4.494410653626787,0.9165485208923385,132.6958916065955,82.46143391097523
168,7.0,10,8,4.495884671552695,0.8955127588281581,131.63315284052445,79.20132855371793
169,7.0,10,9,4.548011775180741,0.9067186638873187,139.021709958956,85.06625891946996
170,8.0,10,0,5.299078679352916,0.7104771926117035,246.93943221355343,210.4080852226166
