,order,Q_decile,mu,sigma,loc,n,mean,median,min,max,n95,n90,n75,n25,n10,n05
14,4,2,5.418472381905589,0.6037242772572247,0,1903786,272.15751205791776,219.000880338153,90.0029986150318,1932.55048057865,91.8754919147765,91.8103921792024,91.5372956443902,90.5710890896412,90.215400723448,90.1132064807422
15,5,2,5.079987152460452,0.5615780384670762,0,3245928,203.0408387085282,133.712195792645,90.0028776486033,2934.8614674007,90.9367568199511,90.8883818731145,90.6965948505978,90.3010569365697,90.0906344040332,90.0291139534504
16,6,2,5.068257451733399,0.43175266315578803,0,9597937,177.69368238957767,147.658362696296,90.0032386659739,2301.57441199951,91.1112769568701,91.0765437229497,90.8920781183496,90.3384438407225,90.1418422219178,90.0829854598852
17,7,2,5.005223925202366,0.41422132482140794,0,25045837,166.64818441104782,136.553675491142,90.0031387543327,2161.75767958511,91.0768647087343,91.0609235949355,90.898407834231,90.3432730336229,90.1473387903893,90.0838350666285
18,8,2,5.608054256053575,0.6499185350591933,0,20573061,337.34401383517394,276.282115731025,90.0023833371932,2837.57456754336,92.7706521863275,92.6226911139892,92.3256176971863,91.3765145204478,90.7046691720652,90.3270100129043
19,9,2,5.864153087535503,0.48919982538707646,0,9726674,399.12830854216344,352.726614692454,90.3243930456885,2121.58645603406,148.950333169164,148.271651642155,142.835910485725,119.292297818619,103.601793718579,96.2951994837622
20,10,2,6.6685162776572,0.42298413649284355,0,4883511,850.8506861202676,801.655949849287,90.1787126122875,2681.18232471179,139.556721642085,136.696468000786,134.632786953697,108.668228684644,98.0112967562357,93.9115703070918
21,4,3,5.453927487698584,0.6049384467341428,0,1730585,281.65493234140996,225.899363704886,90.0144106398555,1883.89274855321,92.0215035352836,91.9968666779466,91.6369871200299,90.6731655707313,90.2946457613228,90.1132064807422
22,5,3,5.10570508380168,0.5833227507132889,0,2833339,211.9202149291118,136.566447941654,90.0015965999833,2921.14716147826,90.9877078880267,90.9367568199511,90.7296043254212,90.2908265494423,90.1361087589098,90.063182678948
23,6,3,5.073390407640954,0.4396943946328521,0,9674183,179.6616565121568,147.813419329868,90.0002895038651,2358.80255738515,91.2150656644916,91.1670732521438,90.9826212331043,90.3868323450079,90.1418422219178,90.0829854598852
24,7,3,5.0126843519713615,0.41371444618553155,0,25434840,167.76993202294892,137.758270628959,90.0004705749955,2148.9651627009,91.0862187666277,91.0690113811927,90.9111778799873,90.3463843333202,90.1500833364303,90.0849334365779
25,8,3,5.609597350877146,0.6417521120751203,0,19175989,336.12973655361793,274.411072185127,90.001699783135,2550.76100014033,92.778480348908,92.6246164628971,92.3154093365533,91.3481851169875,90.728359951848,90.2942207401364
26,9,3,5.829744718487714,0.4921836376435519,0,10310028,387.3729398283699,338.115882771027,90.1442903718173,2161.52164508201,151.773806594548,151.321536100333,148.467353143775,122.548907902566,107.394527201173,99.48452615094222
27,10,3,6.663408732055341,0.44431727977326196,0,4649372,854.0567188518572,795.952799841695,90.026035743737,2767.56534200495,146.648768364262,142.322649822519,135.705173664982,109.952747212706,98.3196247230559,94.2719399457122
28,4,4,5.45280621074105,0.5982842072128923,0,1835011,280.50755679276097,231.166006240418,90.012779932989,1919.08693336773,92.0133150040084,91.9977213806541,91.6193469578336,90.6886054860978,90.2288527355294,90.1132064807422
29,5,4,5.088716016063379,0.5737757763525393,0,2969551,207.1133110593746,133.815773568176,90.0028776486033,2921.14716147826,90.8750196292731,90.8176818934213,90.6627529542208,90.2561777564054,90.1254973729202,90.0247995702989
30,6,4,5.0817025593837535,0.4403204646854459,0,9774129,181.07255103056198,148.915292100906,90.0002895038651,2333.61037379786,91.2515852998881,91.2352011045719,91.0638047859653,90.4301503233864,90.1497021324482,90.0849334365779
31,7,4,5.029554863848584,0.4173732415957852,0,25731994,170.75033623496574,139.491141135125,90.0020293024527,2163.73488880415,91.201970131011,91.1176662748213,91.0263761707938,90.3998985644236,90.1663706143592,90.0887958524649
32,8,4,5.598607064054654,0.631800334167177,0,20640332,331.2759928878311,263.1360668861,90.0023833371932,3214.64973681075,93.3451626906821,93.0912923795073,92.4869631019695,91.4540887922677,90.9068826616937,90.467506944025
33,9,4,5.835648115065895,0.49491098146004914,0,10809915,389.7037206686375,340.24649221961,90.1099656399757,2212.91714866968,151.837195449007,151.810321718587,151.055090844581,132.990246543007,120.623198215055,107.995687818993
34,10,4,6.709063857353886,0.42201743930070185,0,3815646,889.1549553872927,816.74736001562,90.5408144283012,2924.55959436509,162.249444891803,161.079726095193,150.978145081363,124.135702573927,108.538514812257,100.346137681703
35,4,5,5.496925073602432,0.6035278779179746,0,1769463,292.8967686460893,243.855836079334,90.0129540115191,1930.01130281519,92.3661487474321,92.3083029675524,92.045189257154,90.8968096232282,90.3871261463312,90.1418422219178
36,5,5,5.099786480136795,0.5790763989267947,0,3186903,211.08029174253682,136.578192053214,90.0004705749956,2934.8614674007,90.877693995158,90.8483249453172,90.6675719867345,90.2561777564054,90.1350985391295,90.0428202585353
37,6,5,5.07386691114308,0.434169578775237,0,10307626,179.0716350115512,147.5091263609,90.0012221599296,2301.57441199951,91.2480984240635,91.224366213401,91.0249130073118,90.3828810186071,90.1497021324482,90.0967660620729
38,7,5,5.049407392516165,0.4170455731576074,0,25876175,174.14082109158232,146.17361132783,90.0008939961844,2262.56806539784,91.2907067726265,91.2225157075253,91.0491801358338,90.4035214168094,90.1640092583793,90.0900808409195
39,8,5,5.627487478019952,0.6134582433122909,0,19695856,337.4266504235211,274.452308165866,90.0000789717391,3123.01628946106,94.9519335105004,94.7559052467071,93.847503382313,91.7151561172061,90.9622510691289,90.4943553611876
40,9,5,5.817685063620347,0.5021735835380301,0,12362850,384.81873085783013,330.600361408435,90.0008747611143,2526.23348699309,151.737711911202,151.343315248666,148.973231472755,128.729222209361,113.498987472148,104.00773430234
41,10,5,6.743998071018062,0.4472527338855584,0,3702305,928.829120948336,850.430924095263,90.026035743737,3166.99305774495,161.302803682485,159.073656605206,151.275479097412,127.618349483989,108.736837695098,98.856215588716
42,4,6,5.481235756920384,0.6265782076582856,0,1802976,294.1391907990601,231.12992303569,90.0231844541276,1950.12388261301,92.037252949635,92.018261507262,91.7361877306048,90.6886054860978,90.254343793167,90.1179708986357
43,5,6,5.09023520147881,0.5491267595419392,0,3074271,201.86322551987956,136.627543777697,90.002303610178,2921.14716147826,90.9948032612187,90.9367568199511,90.7023822803499,90.3010569365697,90.1350985391295,90.0695653796163
44,6,6,5.074724956401096,0.42735055240288156,0,11060380,178.5250362422711,148.255711056905,90.0003277533213,2332.78440056549,91.3551845983874,91.3061097342456,91.1488771338766,90.4338404246953,90.1697672007447,90.0849334365779
45,7,6,5.069476672153739,0.42257271982244465,0,29255255,177.93234060123203,150.238450252141,90.0018540434938,2161.75767958511,91.4054417218471,91.3120808168647,91.0751314265654,90.4363298078153,90.1864788248577,90.1071347164727
46,8,6,5.640512266056334,0.6078891786627492,0,20741677,340.79127551837115,274.715546315799,90.0000875533915,3591.66601568782,95.1665817422966,94.8879015679414,94.11544255897307,91.7263983287355,91.0658285530795,90.621890075527
47,9,6,5.805982255865304,0.5012275494747359,0,11984617,380.36713722193707,326.031627993803,90.0316338164774,2571.33278219184,151.666137360403,151.249935957822,149.043384403943,126.317186323323,110.06548278087,102.364931666457
48,10,6,6.786363671301312,0.40185470957901087,0,4313966,956.7315463962364,869.7309347367,90.8030502204764,3425.12581035088,235.673901977069,227.180417642391,203.624315729102,149.784510874655,131.300767079037,120.653110791498
49,4,7,5.4945686986591715,0.6201754207993284,0,1781101,296.23951736217816,235.846352455742,90.0554264033002,1936.19873138247,92.1906929041863,92.0928975858418,91.9977213806541,90.7640953741529,90.3871261463312,90.2276249422222
50,5,7,5.109870712531083,0.5675073641690893,0,3236853,209.79898732162644,138.807413213099,90.0028776486033,2934.8614674007,90.9877078880267,90.9367568199511,90.6934210881914,90.248749365155,90.1254973729202,90.0614167368181
51,6,7,5.104135903308157,0.4399441765975194,0,11638999,185.12199228262983,152.659806783329,90.0026889583306,2309.83414432321,91.4516713967954,91.4123794615768,91.2353915846619,90.4658041748075,90.1697672007447,90.1024938524525
52,7,7,5.092492199795981,0.4303061153143711,0,28541179,182.85334486290787,152.80435365952,90.0019707328543,2249.70865831203,91.4670655454658,91.4453166145428,91.182237410305,90.5095912628723,90.2276249422222,90.1093957849388
53,8,7,5.641615866507971,0.5817696502158669,0,21688570,336.30611028091016,274.319166281025,90.0078002131168,3741.54205907147,96.3485886896469,96.0458257968481,95.0766560833814,92.008699704038,91.2597210340916,90.8853853060305
54,9,7,5.823315348119865,0.5161669792831066,0,12757035,389.6330204164515,334.08945540017,90.120677432957,3401.39428942376,148.568945255769,147.700362937192,143.088477416196,121.325478783853,106.175932831784,97.5068290626457
55,10,7,6.797956770663369,0.41272212500968547,0,4088710,971.6568742026628,874.820480970404,90.1789024768245,3318.33441102546,217.583658220671,209.790129567107,191.074176300232,149.784510874655,129.173968283601,118.760512975161
56,4,8,5.487909106586024,0.6294500499322774,0,1819273,296.87185212416733,230.67581987354,90.0028776486033,1950.12388261301,92.1906929041863,92.1041136172249,92.0006848971073,90.8073613142056,90.3258051652279,90.1418422219178
