,order,Q_decile,mu,sigma,n,loc,mean,median
35,6,5,2.985310802477732,0.6659817191878948,991,0,25.221075068398278,16.496780308288578
36,7,5,2.900809543199353,0.6169919243482017,5331,0,22.230259691488666,16.083240260974442
37,8,5,3.3213080514921662,0.7962700408319076,2011,0,36.34453859233172,32.59277695141518
38,9,5,3.2332634270844185,0.9021768546725604,6008,0,37.61227597145897,20.66647183573967
39,10,5,3.28762874641259,0.696541613273735,9711,0,35.682202280035206,23.804026645904337
40,11,5,3.230649497491419,0.6085435440813277,18557,0,29.285460987447394,26.593122822020245
41,12,5,4.3568634077690005,1.0281545714267333,3182,0,116.9981114132186,80.74925188225541
42,6,6,3.034718296553549,0.6188809987770028,1022,0,25.201065709588395,20.24015309451872
43,7,6,2.8885439410940608,0.5962997170637744,5843,0,21.871098365196044,15.936853370138905
44,8,6,3.244894950483014,0.8039362268786717,1930,0,34.27188704307185,26.291596099446494
45,9,6,3.2107039937023156,0.8612139328408555,7246,0,35.98441862127149,20.123499194104276
46,10,6,3.2517417430945406,0.6763923993692588,11151,0,34.00097704945266,23.602715778195016
47,11,6,3.315962960206312,0.5820810467591601,19253,0,31.669992503530022,28.73352542124264
48,12,6,4.4523768045103855,1.0099764651854255,3692,0,125.58546621995869,95.02610590867565
49,6,7,2.9831758117240437,0.6236844286083995,1258,0,24.11427721962803,17.28234127534994
50,7,7,2.9067953905599384,0.5923762793270635,6171,0,22.166101623597836,16.070623571436126
51,8,7,3.226694174529816,0.7849484155038814,1804,0,33.359321779546725,24.676975834135675
52,9,7,3.258865046623337,0.8372694316099484,6218,0,37.10452951202495,20.910558021727994
53,10,7,3.37922747624488,0.7122294789897422,10580,0,39.40934298826508,26.17511286935827
54,11,7,3.3766714157717748,0.6047341118482589,22075,0,33.78799015915301,30.357757740825367
55,12,7,4.446238049283561,0.9432997199182139,3252,0,122.24648799141713,82.85739800941228
56,6,8,2.989833935194647,0.6471161220671731,1276,0,24.51045813958769,18.0679022424113
57,7,8,2.969721629406333,0.6082666322794195,7280,0,23.80919807203528,17.24055410346069
58,8,8,3.2829089202549397,0.7890839311096064,2174,0,35.326436170955205,28.300066841149636
59,9,8,3.3202609633074216,0.8160143285701503,7335,0,38.758129295460634,23.305554462298904
60,10,8,3.4225592808603125,0.7082758165527795,11996,0,40.45560572140065,27.783985161873076
61,11,8,3.4269423785282704,0.5488145467759202,18044,0,34.869463990428194,31.559954582630404
62,12,8,4.541612788828909,0.8839406720311571,2611,0,131.3160308058491,100.74795115700215
63,6,9,3.0878303627781105,0.653470339629778,1104,0,27.18868545096534,20.343390778479275
64,7,9,3.0010678401714515,0.6099049970997186,6062,0,24.48547605843347,17.995627501435017
65,8,9,3.4575730324215592,0.7543538012440331,1984,0,40.47878891683974,36.00800085613096
66,9,9,3.4581960401578056,0.8101963561403871,6421,0,43.65497914662203,28.27381940710545
67,10,9,3.5362556543271544,0.7374895052040749,10158,0,46.27278676001515,31.31011592341804
68,11,9,3.524571607376161,0.5161464394044725,18322,0,37.903949001697136,34.52154437467878
69,12,9,4.616386383973112,0.8326158174920175,3579,0,136.01732350800594,106.29171978373635
