,da_oom,Q_decile,mu,sigma,loc,n,mean,median,min,max,n95,n90,n75,n25,n10,n05
17,1,7,4.449823959606322,0.9189335826817916,0.0,679,134.97165838950033,69.32110215981507,1.10177951058458,1291.179194053355,12.889525468268735,12.794398639057551,12.425217750640426,5.388669473390773,3.751700638346519,2.4267400744655494
27,2,7,4.788980423991831,1.218332167089648,0.0,1357,270.7802045117227,87.26064498284657,3.18218935955201,2773.955597336636,15.99565403474979,15.322519661313365,13.71483162845898,5.7622358842911865,4.040063181642739,3.515460782973393
37,3,7,4.292194943087014,0.8796498549703438,0.0,27368,120.6877937014068,64.90317311437866,0.0607337907265392,4719.387157851141,12.587381576297396,12.152339565413538,11.255565264271082,5.944800472208462,2.4633753461806123,1.1852770054089659
47,4,7,4.660182317784384,0.7890930054037916,0.0,63491,150.5551902068712,105.42372984862781,0.0598840109594436,5520.999742835095,19.914650576680657,19.66195625795531,18.502849410107352,11.79744557492078,6.670211059608754,3.3765998261588983
57,5,7,5.746212461140348,0.6963486661499747,0.0,26196,398.9403779738224,307.03639120730566,0.777727728291466,4473.337582132167,56.58452820422138,55.48282459963092,50.65157103407212,32.34232608468918,26.16899257452499,21.28862963882816
67,6,7,6.246576297579914,0.6966233287271101,0.0,7053,654.4180289428202,522.4220405026813,32.385472239695666,2665.0984044995503,174.346672142744,173.0050158023158,171.18225969199514,162.80074973885124,156.09088863351136,128.2547276012507
77,7,7,,,,0,,,,,,,,,,
87,8,7,,,,0,,,,,,,,,,
8,0,8,,,,0,,,,,,,,,,
18,1,8,4.506031789674399,0.9179431216531857,0.0,679,140.57512926023674,75.34500380834808,1.10177951058458,1286.56985166732,8.548128025099778,7.788220976497763,6.262606847163606,4.5410503889246305,2.898255070702316,2.0000172906434477
28,2,8,4.832674906512443,1.2362669398523851,0.0,1357,279.87889035369034,92.97629324298549,0.299101574948391,2542.5908841246537,13.559703986506554,13.440198294025139,12.24989186806137,3.198424873752055,0.5515029520070568,0.42861438140337027
38,3,8,4.326040757371503,0.872085611365816,0.0,27368,123.61861321394686,67.68442287591868,0.12246428460842,4891.042851661303,13.262895207336836,12.913328974589499,11.941559848088882,6.322083769844542,2.8698900866899093,1.511224340782421
48,4,8,4.702280867168799,0.7891227797115536,0.0,63491,155.97057483560565,111.62050164643708,0.0598840109594436,5260.322466434581,19.722874543530878,19.381472632322392,17.971979677515204,10.78429354284945,5.554493333280032,2.9293848085820504
58,5,8,5.784086274621907,0.6815678311986204,0.0,26196,410.15507075619075,322.64690412114254,6.803740910930408,4689.609787528738,58.40239787118208,56.965422551999204,53.471761552415835,34.635782258296445,24.972458307738762,18.10597724084325
68,6,8,6.2614546345542275,0.703036510716514,0.0,7053,667.5564013591002,523.526143944242,48.69705617986681,2705.521862458852,173.4065738441166,172.94174015366508,171.2811619755084,163.30119757534518,156.65447953317377,128.01452438408333
78,7,8,,,,0,,,,,,,,,,
88,8,8,,,,0,,,,,,,,,,
9,0,9,,,,0,,,,,,,,,,
19,1,9,4.554041590829529,0.908597728458842,0.0,679,147.0262913360182,79.0023741815288,1.10177951058458,1351.4998287675971,11.297175431642437,10.188794119221855,9.61477178801525,5.247702119353081,3.4094525161808273,2.2556160133827037
29,2,9,4.885055905903935,1.2054197457363591,0.0,1357,289.61262526254416,95.91080572313102,1.6033997130327733,2787.863372772245,15.940183233800258,15.91163746658923,15.518369023299849,5.879881254463815,3.887135103231689,2.741444707608967
39,3,9,4.406346453815521,0.8492414403149902,0.0,27368,130.48289814042096,73.52111433164801,0.243429005258514,4859.114670485041,15.088215880879703,14.651906185661705,13.320148142656308,7.279470787897775,3.5521727447011133,2.484704812297265
49,4,9,4.796450515691889,0.7704558354897869,0.0,63491,168.46325817090255,123.33544629995852,0.121169736141925,5535.426043447897,22.06130587073217,21.677094343454247,20.28284707329546,13.621181727965622,7.850341890589012,5.42941380168451
59,5,9,5.861842665678639,0.66639672744273,0.0,26196,439.6456196819711,345.77367762448523,3.70916301185161,5033.936739584191,69.3335480576788,68.19001902650884,61.92346664571179,36.30390710673863,25.469046641180615,18.27256619441912
69,6,9,6.325186899028292,0.712447448694095,0.0,7053,716.7641997055196,553.6536512803327,45.43221375463257,2864.476745289608,181.50605475977284,181.2509160191567,180.213995128627,170.90227426579705,162.53754900228986,145.03889475178812
79,7,9,,,,0,,,,,,,,,,
89,8,9,,,,0,,,,,,,,,,
