,area_km2,length_km,mean_width,Q_decile,order
38,0.0,0.0,65.19491902175965,2,9
39,0.0,0.0,108.67533708664418,2,10
40,0.0,0.0,231.93775587987304,2,11
41,0.0,0.0,309.5052343424584,2,12
42,0.0,0.0,580.9103113526447,2,13
43,0.0,0.0,911.92961695481,2,14
44,0.0,0.0,1444.3244939714953,2,15
45,223.0392097183657,306979.446234229,0.7265607272878591,3,1
46,293.9367134505752,162880.39825028746,1.8046168637118765,3,2
47,208.3969620105502,95067.07065407708,2.19210459075624,3,3
48,241.26521701013837,50915.42604054984,4.738548525902365,3,4
49,65.50168722425937,8680.087584291849,7.546201186125845,3,5
50,4.388343642287777,357.4243179093367,12.277686274835144,3,6
51,0.6730191034396227,28.41529362913133,23.685101136862585,3,7
52,0.0,0.0,33.165094850657276,3,8
53,0.0,0.0,64.8874549078676,3,9
54,0.0,0.0,110.3767060052608,3,10
55,0.0,0.0,231.85388258193305,3,11
56,0.0,0.0,310.6315110843155,3,12
57,0.0,0.0,570.5444732516986,3,13
58,0.0,0.0,923.9937616857585,3,14
59,0.0,0.0,1464.6774477790984,3,15
60,252.08035554547484,345838.31388642325,0.7288965549035742,4,1
61,335.7869315921874,181359.99596347232,1.8514939295643684,4,2
62,226.40901958292852,103428.19234250822,2.1890455054378446,4,3
63,281.4418673369347,60061.26370529471,4.685913182211719,4,4
64,99.94775798651965,13054.026934853491,7.656469416319722,4,5
65,6.136895411363188,493.2359018606352,12.442110130696001,4,6
66,0.6847236297356584,28.41529362913133,24.097010527939098,4,7
67,0.0,0.0,33.087809980313246,4,8
68,0.0,0.0,64.58813441056907,4,9
69,0.0,0.0,112.11648841051186,4,10
70,0.0,0.0,231.77636479656414,4,11
71,0.0,0.0,311.83534439181864,4,12
72,0.0,0.0,560.5710856231541,4,13
73,0.0,0.0,936.4763430837831,4,14
74,0.0,0.0,1485.7407091505681,4,15
75,285.6826305499702,390574.4516744689,0.7314421855428409,5,1
76,387.74823133864584,204117.4956117076,1.8996325139921308,5,2
77,248.67721410118122,113744.2717473422,2.1862834082191216,5,3
