,order,Q_decile,mu,sigma,loc,n,mean,median,min,max,n95,n90,n75,n25,n10,n05
53,8,7,5.453341821732589,0.7057689500709711,0,26776979,296.76856156068754,232.782280100155,30.0129467297415,3741.54205907147,42.3281988179486,41.9532769207977,40.4310556656431,32.1897902696101,30.8462693643585,30.6666913789976
54,9,7,5.81284640010375,0.5361726739311939,0,12856848,388.0087294859977,333.393840126347,30.1426656683642,3401.39428942376,127.945587702039,124.650513362541,113.745403608213,42.4350491328471,32.6489430020591,31.0170075765358
55,10,7,6.79785725205064,0.4159652251505644,0,4105445,972.2599885526305,875.516347643219,31.5722247435543,3561.42843362384,213.680032304176,205.405199053628,188.672828857977,146.732951234437,121.24761352644,97.4550855680233
56,4,8,4.819314378055593,0.8853406574779739,0,3402300,187.4534901850458,104.245667875687,30.0022830909238,1950.12388261301,30.7694343225174,30.6883674805332,30.6727593606824,30.3162081652664,30.2213138344672,30.104407126944
57,5,8,4.436174280176754,0.687424004597827,0,8508782,115.70766143513632,76.8019026894535,30.0010729310247,2934.8614674007,30.6855911904765,30.6767290657128,30.5885180993302,30.2337192213106,30.0591175323897,30.0331508246071
58,6,8,4.453023191858921,0.6480037025342892,0,33869328,108.63937919247505,82.2948434098848,30.0004073866432,2356.91461856831,30.567300765775,30.5558652678338,30.4660046721575,30.2331108802354,30.1371293086038,30.0654725618166
59,7,8,4.732320135984888,0.6219785103848555,0,51845663,139.21690335258666,116.600103753337,30.0000231434779,2795.90520473379,31.1845965498366,31.1348990943789,30.9797663594806,30.5242229386486,30.2351440416934,30.1745390790345
60,8,8,5.470904532109805,0.6921850386213199,0,25928415,299.1204798386031,238.572939312766,30.0139442340826,3872.09423687413,42.5152536190844,42.244299990759,40.8581585518325,32.3636251033267,30.9626192994012,30.6726474305168
61,9,8,5.777267336740727,0.5438981273321426,0,13882466,376.9282042716661,319.000516904561,30.0015658673671,3352.62431880106,119.401276913422,114.971047148068,103.114766990958,44.8498677941249,33.3639560075741,31.0716886955994
62,10,8,6.804086568573284,0.42244047790821626,0,3757409,981.559843842325,879.223041873585,30.0415021422827,3666.42802491027,218.711342210358,214.594193167338,191.771466322496,144.334986335423,122.025395936902,110.175130237205
63,4,9,4.8588700126152675,0.9222367070735074,0,3652983,201.4279894852529,107.311716930855,30.0069713008999,2354.23817771884,30.7683802682013,30.6939787627699,30.6757489083783,30.360998249563,30.2322536765793,30.1155937658447
64,5,9,4.462489242696097,0.6792447588231355,0,9803766,118.89474572763672,81.0638218567844,30.0010729310246,2934.8614674007,30.7008473369613,30.6855911904765,30.6200895528446,30.2354623696143,30.0532772259495,30.0331508246071
65,6,9,4.492185109506243,0.6518089229407604,0,36043431,112.76228256319764,85.480070656677,30.0001568583319,2316.26493591809,30.626778922001,30.5918234306367,30.5606080785094,30.236477084598,30.1569295506396,30.0740898624657
66,7,9,4.769784813691448,0.647251269669571,0,46311081,146.7715680610344,123.111731016376,30.0000231434779,2881.86382012688,31.2009378231379,31.1514850389397,31.001271258865486,30.515946974098,30.2477005395203,30.1693872521693
67,8,9,5.574963598701321,0.6816092252516592,0,24864496,328.517946755587,272.512721234933,30.0180967056299,4608.99757564991,43.4922588568139,43.1498071050804,42.1105124907001,32.7052368528457,30.9282314768212,30.6740276441092
68,9,9,5.841937485836439,0.5540452263485104,0,13025929,403.72843357282846,341.753421521934,30.1309335508825,4142.51133370596,130.273897411582,128.047036094716,118.150802352717,44.9445466956299,32.6489430020591,31.0349667329024
69,10,9,6.886596609747745,0.434826938897505,0,3188003,1072.6902083465668,956.646817841631,30.055960224583,4408.09944828841,251.284086933389,244.31566065544,219.31821346335,162.981283256637,135.308721903705,114.237061647217
